scores,avg_score,types,date,room,useful,comments
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,商务出差,2017年11月入住,标准间,0,到大连开发区出差这几年一直住这里，位置不错，吃饭购物都挺方便，离轻轨站也不远，，价格也挺实惠，性价比较高，前台美女服务挺好，提前到店也给办理了入住
"位置:3.0,设施:4.0,服务:3.0,卫生:3.0",3.3,商务出差,2018年01月入住,行政大床房,0,1. 酒店老旧，服务一般。2，周边吃饭不是很方便。3，网络时好时坏。4，性价比一般，但相对附近其它酒店还算好的了。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年12月入住,标准间,0,位置好出差旅游住这里都方便。
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,商务出差,2019年04月入住,标准间,0,性价比高，早餐挺好～
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2018年01月入住,行政大床房,0,酒店环境不错。\n周边很多美食餐厅，烤肉，韩餐等等。\n出去交通也很方便。房间有点老化可是每天清洁很干净，前台服务也比较不错。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2018年08月入住,商务双人间,0,有停车场。酒店前和酒店后面都有停车场。酒店很好。下次还住这。
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2019年03月入住,行政大床房,0,房间太小，其他都行
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2019年05月入住,行政大床房,0,非常好的体验
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,商务出差,2017年07月入住,标准间,0,经常入住该酒店，酒店为三星级酒店，服务态度很好，早餐很丰富，房间干净整洁，价格可以接受，毕竟是旅游季节，房价稍高。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年12月入住,行政大床房,0,很舒适！环境很好！早饭不错
"位置:3.0,设施:2.0,服务:3.0,卫生:3.0",2.8,商务出差,2017年11月入住,标准间,0,宾馆设施陈旧，暖风十分不给力，大冬天的室内冷。大厅的感觉和房间内极其不相符…网速还可以，早餐一般般，价格偏贵。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年12月入住,标准间,0,是个历史还算悠久的酒店，硬件设施符合期望，早餐还算对得起，周围就是红梅餐饮一条街，比较方便招待客户。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2018年10月入住,标准间,0,还可以吧挺干净的，就是用品挺多的
"位置:3.0,设施:3.0,服务:3.0,卫生:3.0",3,家庭亲子,2018年10月入住,标准间,0,一般，房间居然是个阁楼，不值房价
"位置:4.0,设施:5.0,服务:5.0,卫生:5.0",4.8,商务出差,2018年12月入住,行政大床房,,餐厅服务态度很好，很热情！
"位置:3.0,设施:2.0,服务:1.0,卫生:3.0",2.3,家庭亲子,2017年10月入住,行政双人间,,10月2日入住的酒店，傍晚登记入住全过程，前台服务员(据说是实习生)，全程无笑脸，我们在携程定的房间不含早餐，旁边登记的前台服务员，热情的跟其他登记的旅客讲解早餐事宜，而我们这位服务员，收了我们押金，给了房卡，完全零交流，这服务我也是醉了。房间设施比较陈旧，不过房价还可以，也就忍了，毕竟老酒店嘛，但是我感觉越是酒店设施老，服务越应该好啊，要不怎么做这买卖，我看了前面旅客的评论说服务差，还真是没说错，这么些人反映这个问题还不整改，真是死猪不怕开水烫啊，建议携程取消这家酒店的推荐，以免更多旅客受到这种差服务，也影响携程这个品牌形象，毕竟很多旅客是看了携程的推荐去住的。
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2018年07月入住,商务双人间,0,还可以，房间里有个沙发，离车站很近
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年03月入住,行政大床房,0,周边生活方便
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年05月入住,行政大床房,,房间卫生干净整洁，各项基础设施建设齐全完备，房间马桶还是智能马桶，有浴缸可以泡澡，非常好，在开发区的中心地带，出行方便！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2017年06月入住,标准间,0,环境很好，整个房间很干净，尤其是卫生间，卫生间手纸特别好。又可以接待外宾。在携程预定便宜好多。离公交站，饭店也很近。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2018年09月入住,行政双人间,0,有早餐，酒店位置挺好的，有停车位置
"位置:4.0,设施:3.0,服务:3.0,卫生:4.0",3.5,商务出差,2017年10月入住,标准间,0,房间很小，但是位置还好，溜达到海边也就10来分钟。附近餐饮非常方便，酒店的早餐也算丰富。与周边酒店相比，性价比不错。
"位置:3.0,设施:1.0,服务:1.0,卫生:1.0",1.5,独自旅行,2017年12月入住,标准间,0,设施旧就算了，床很恶心，而且垫被很薄，住酒店就这床来说，也就是几十元家庭旅馆的档次
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年09月入住,标准间,0,非常不错的酒店，早餐丰富
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2018年12月入住,标准间,0,总体来说还不错
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年06月入住,豪华大床套房,0,酒店很好，尤其套房不错，设施齐全，全自动座便，很方便。早歺丰富。地理位置也很好，出差大连开发区一个很好的选择
"位置:4.0,设施:2.0,服务:3.0,卫生:3.0",3,其它,2018年11月入住,行政大床房,0,设施老旧 性价比低
"位置:5.0,设施:4.0,服务:4.0,卫生:4.0",4.3,代人预订,2017年07月入住,豪华大床套房,0,帮朋友预定的，也进房间看了下。可能是时间较久的原因，整个酒店相对较陈旧，走廊也比较窄，但考虑到价格因素，已经物有所值了。属于性价比不错的酒店了
"位置:5.0,设施:4.0,服务:4.0,卫生:4.0",4.3,商务出差,2018年06月入住,标准间,0,位置大连开发区，周边配套设施齐全！房间还不错👍👌！早餐🥣品种还是蛮多的。这个价位，性价比非常高的
"位置:3.0,设施:3.0,服务:3.0,卫生:2.0",2.8,商务出差,2018年12月入住,标准间,0,房间香烟味太重
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2018年04月入住,商务双人间,0,very good！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2018年08月入住,商务双人间,0,酒店位置好，房间很干净，价格合理，停车方便，周围餐饮多，选择的范围多，前台接待的人员很热情，下次继续住此店。
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2017年06月入住,行政大床房,0,酒店还可以，比较干净，周围吃饭很方便。提一个小意见，前台人员进出前台最好设置一个正常通道，现在看到她们是弓着身体从前台侧面“钻”着进出的，这让人很费解，酒店无论什么理由都应该给员工一个正常的工作环境，毕竟这不是一个很体面的通行方式，住店的客人看了也会很尴尬！
"位置:4.0,设施:4.0,服务:5.0,卫生:5.0",4.5,商务出差,2017年06月入住,标准间,0,价格可以，隔音太差，卫生尚可，网上订不给早餐有点遗憾，以前来住过，这次来还是住这里，刚好碰到高考，住了好多考生和家长，晚上隔音太差，很晚才睡着，给他们提了个标语的错别字，有点成就感
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,家庭亲子,2019年05月入住,商务双人间,0,整体还可以吧，就是隔音效果不好
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,家庭亲子,2019年05月入住,行政双人间,0,整体还可以吧，就是隔音效果不好
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,家庭亲子,2019年05月入住,行政双人间,0,整体还可以吧，就是隔音效果不好
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,家庭亲子,2019年05月入住,标准间,0,整体还可以吧，就是隔音效果不好
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,家庭亲子,2019年05月入住,行政双人间,0,整体还可以吧，就是隔音效果不好
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,家庭亲子,2019年05月入住,标准间,0,整体还可以吧，就是隔音效果不好
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,家庭亲子,2019年05月入住,商务双人间,0,整体还可以吧，就是隔音效果不好
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,商务出差,2018年07月入住,标准间,0,房间不大，但是比较干净
"位置:3.0,设施:3.0,服务:2.0,卫生:4.0",3,家庭亲子,2017年08月入住,行政双人间,0,环境优雅档次高，就是这么高的价格居然没有早餐。
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,家庭亲子,2019年05月入住,行政双人间,0,整体还可以吧，就是隔音效果不
"位置:4.0,设施:5.0,服务:4.0,卫生:4.0",4.3,商务出差,2018年03月入住,商务双人间,0,环境好，有冰箱，洗手间马桶都是自动冲洗
"位置:2.0,设施:3.0,服务:2.0,卫生:3.0",2.5,家庭亲子,2017年08月入住,标准间,0,很一般，让再送条毛巾都不肯，说要收费，太可笑了，这点就和酒店名字十分不相符！
"位置:4.0,设施:3.0,服务:3.0,卫生:3.0",3.3,商务出差,2018年06月入住,行政大床房,0,没什么可评价的！没有特色！
"位置:3.0,设施:3.0,服务:3.0,卫生:3.0",3,商务出差,2018年03月入住,行政大床房,0,完全不符合4星标准，酒店装修也老
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2018年02月入住,标准间,0,房子不错 房间看起来有时间了 早餐很棒
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2018年10月入住,标准间,0,房屋干净整洁
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年09月入住,豪华大床套房,0,很好！下次还住
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2018年03月入住,行政大床房,0,老酒店了，离梅花很近，吃饭很方便
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年05月入住,行政大床房,0,酒店周边日韩料理较多 还有SPA  在开发区算是性价比比较好的酒店了  适合商务出差 早饭也还可以 好有现场拉面
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年07月入住,豪华大床套房,0,卫生干净，价格便宜
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2018年08月入住,标准间,0,非常不错的酒店
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2018年08月入住,商务双人间,0,很好的地方，满意
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,朋友出游,2018年08月入住,标准间,0,干净卫生！房间好！
"位置:3.0,设施:3.0,服务:4.0,卫生:4.0",3.5,商务出差,2017年06月入住,标准间,0,房间小
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年04月入住,标准间,0,二次入住了，还蛮舒适的
"位置:4.0,设施:3.0,服务:4.0,卫生:3.0",3.5,商务出差,2018年08月入住,行政大床房,0,三星没有抽纸？
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年03月入住,行政大床房,0,住宿环境不错，而且价格合适，适宜出差入住，周边基本的需要还是能满足的，超市，饭店，公交站等也齐全，距离轻轨站也很近
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年10月入住,标准间,0,还不错，每次来都选择这里。就是这次发现墙壁不隔音。
"位置:3.0,设施:3.0,服务:2.0,卫生:3.0",2.8,商务出差,2017年02月入住,行政大床房,,早餐还可以。晚上会有骚扰电话，我说不需要，一会后居然有人敲门说我叫的人到了，吓得我透过猫眼让她们走人，鬼知道是不是来玩仙人跳
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年10月入住,标准间,0,酒店挺干净～
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2017年08月入住,标准间,,酒店后面有停车场，我是自驾游的，停车很方便。大堂的服务员很热情。
"位置:3.0,设施:3.0,服务:3.0,卫生:3.0",3,情侣出游,2017年08月入住,标准间,0,有停车地方，到金石滩自驾很方便。设施很陈旧了。卫生一般。
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,朋友出游,2018年05月入住,行政大床房,0,豪华单人间不错哦
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,家庭亲子,2017年04月入住,商务双人间,0,后边有很大一个开放停车场，周围酒店商场都在那停。\n电梯比较怪，安全通道也有点拐。
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,商务出差,2018年05月入住,标准间,0,位置早餐都不错
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2017年10月入住,标准间,0,出行方便，服务态度很好，是个不错的选择
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,朋友出游,2017年06月入住,标准间,0,服务整体还算不错，觉得内部装修老套些，房型不是特别大，紧凑型吧！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2017年07月入住,行政大床房,0,环境很不错
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2017年10月入住,标准间,0,#完美服务# \n#绝佳位置# \n#房间干净# \n#设施齐全#
"位置:4.0,设施:3.0,服务:3.0,卫生:4.0",3.5,朋友出游,2017年08月入住,标准间,0,充电器落在酒店，离开后打电话问就说没有。太差！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2016年12月入住,行政双人间,0,性价比高，房间设施简单但干净卫生。早餐也中规中矩，中式为主，日式为辅。周边吃饭的地方也挺多。总之是预算不高的商务出差的好选择。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年12月入住,标准间,0,大连开发区出差一直住这里，吃饭交通都很方便，周围有轻轨站，红梅商业街，不远有体育公园，还有童牛岭，周末休息可以出去爬山锻炼，很不错的地方
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年11月入住,标准间,0,大连开发区出差一直住这里，吃饭交通都很方便，周围有轻轨站，红梅商业街，不远有体育公园，还有童牛岭，周末休息可以出去爬山锻炼，很不错的地方
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年11月入住,标准间,0,大连开发区出差一直住这里，吃饭交通都很方便，周围有轻轨站，红梅商业街，不远有体育公园，还有童牛岭，周末休息可以出去爬山锻炼，很不错的地方
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2016年08月入住,,0,服务员态度都非常好，楼下小吃非常多，建议多体检一下各式小吃，还有附近南海渔村很不错哦。房间也很整洁，价格很合理。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年11月入住,标准间,0,大连开发区出差一直住这里，吃饭交通都很方便，周围有轻轨站，红梅商业街，不远有体育公园，还有童牛岭，周末休息可以出去爬山锻炼，很不错的地方
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年11月入住,标准间,0,自助早餐，标准间只有一早，需另加
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2017年01月入住,行政大床房,0,酒店春节期间房价很优惠平时279元的房间，特惠149在携程订房时要看清特惠价格，一不留意会按原价订房。携程的优惠卷结账时不能抵扣房价。
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,家庭亲子,2017年08月入住,商务双人间,0,非常不错的一家酒店，适合人们旅游出行！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2018年08月入住,标准间,0,物美价廉！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2017年06月入住,标准间,0,环境挺不错的，干净，就是低楼层能听到马路上车的声音
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年11月入住,豪华大床套房,0,靠近大连民族大学，办事方便
"位置:4.0,设施:3.0,服务:3.0,卫生:4.0",3.5,家庭亲子,2017年09月入住,行政双人间,0,设施比较旧，服务也一般，位置还不错！
"位置:1.0,设施:1.0,服务:1.0,卫生:1.0",1,商务出差,2018年01月入住,标准间,0,房间很小，晚上有噪音
"位置:4.0,设施:3.0,服务:4.0,卫生:3.0",3.5,商务出差,2017年08月入住,标准间,0,卫生不怎么样，打扫不干净，看到恶心垃圾
"位置:5.0,设施:4.0,服务:4.0,卫生:4.0",4.3,商务出差,2017年07月入住,商务双人间,0,每次到开发区办事都入住该酒店，酒店价格合理，条件也不错，早餐38元，真的不错，房间干净整洁，每次入住特价房，空间有点小，但这次挺大。
"位置:3.0,设施:4.0,服务:3.0,卫生:3.0",3.3,商务出差,2017年11月入住,标准间,0,老酒店，设施比较陈旧，房间网络不怎么稳定。前台服务一般。周边吃饭不是很方便，相比于周边的酒店来讲，性价比还可以。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年11月入住,标准间,0,出差必住的地方，房间干净整洁，卫生打扫及时，服务员服务周到，早餐营养丰富，虽然吃的时间太长已经没有特别的感受了
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2016年10月入住,行政大床房,0,酒店环境不错，周围交通便利，通风好，服务也不错。就是一次性用具的质量稍差些。希望以后能能改进吧，毕竟酒店价格还是相对高些。
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2018年04月入住,行政大床房,0,酒店比较干净
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2017年01月入住,商务双人间,0,酒店的房间还可以，早餐还可以，服务人员的态度还可以，交通还可以，周围的购物还可以，总之，还可以。希望以后再次入住。很棒的酒店
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2016年11月入住,行政大床房,0,酒店地理位置非常好，出门交通，购物，吃东西什么都很方便。服务等方便也很不错，另外性价比也很高。有机会会再次入住
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2019年03月入住,商务双人间,0,比较方便，安静
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2017年06月入住,行政大床房,0,酒店还不错，房间看上去有一点老旧。\n洗澡很舒服，热水温度刚好。\n附近很多吃的，特别是日本料理。\n酒店的早餐挺好，样式多。\nWi-Fi还待改进，网络很差，没法看视频，一直都是。\n总之性价比还行，下次可能还会住！
"位置:3.0,设施:3.0,服务:3.0,卫生:3.0",3,商务出差,2017年09月入住,商务双人间,0,一般一般。一般一般。一般一般。唯一优势，距三八广场极近！
"位置:5.0,设施:3.0,服务:4.0,卫生:4.0",4,商务出差,2017年11月入住,行政大床房,0,相对价格来说，还可以。
"位置:4.0,设施:5.0,服务:5.0,卫生:5.0",4.8,商务出差,2017年05月入住,豪华大床套房,0,酒店不错，性价比合理！推荐这家，下次还住
"位置:4.0,设施:3.0,服务:4.0,卫生:4.0",3.8,商务出差,2017年05月入住,标准间,0,酒店比较老，房间太小！其他方面还算可以。
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,商务出差,2017年04月入住,商务双人间,0,多次入住该酒店，酒店条件不错，价格还可以接受，房间不算太大大，三星酒店，有冰箱，早餐不错，品种很多，推荐入住。
"位置:3.0,设施:3.0,服务:2.0,卫生:5.0",3.3,朋友出游,2016年10月入住,商务大床房,0,房间很小 隔音不好 退房时候晚了半个小时 却被多收了30元 不人性化 应该提前打电话确认是否退房 或者应该提前告诉是12点前退房
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2018年03月入住,行政大床房,0,性价比很好
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,情侣出游,2016年11月入住,豪华大床套房,0,给朋友订的，还可以，属于老牌酒店，很安静。设施稍微旧了一点，整体来说很不错
"位置:1.0,设施:1.0,服务:1.0,卫生:1.0",1,商务出差,2017年03月入住,标准间,0,好的很好的
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,朋友出游,2016年07月入住,,0,很新，设施简洁方便。电话无法使用，被告知近日在重新布设，修理。前台服务态度好，办理入住快捷。早餐种类较多、卫生，适合不同口味。酒店一楼SPR 咖啡店服务态度较好。总体服务水平上乘。
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,朋友出游,2016年07月入住,行政双人间,0,在携程抢到优惠券50元，便宜还棒棒的!周围很多餐馆，日韩料理比较多，还有印度的呢，酒店电视还能收到海外台，厕所很干净，服务特别好。朋友发现床单有点污渍，反映了一下马上就换了干净的。交通也蛮便利的，就是周围没有什么像样的超市，酒店里有个小的，周围找了找只有俄罗斯食品超市……
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,代人预订,2018年03月入住,豪华大床套房,0,酒店还可以
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2018年07月入住,标准间,0,还好还好哈哈哈哈
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,情侣出游,2017年06月入住,标准间,,环境很好，隔音效果也不错。周围交通便利，饭店、超市也很近。
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,商务出差,2017年09月入住,标准间,0,经常入住的酒店，酒店价格适中，周边环境不错，出行方便，早餐很丰富，前台服务态度很好，下次还会入住，推荐！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,家庭亲子,2017年09月入住,商务双人间,0,服务不错，出行也很方便！
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2017年08月入住,标准间,0,给别人订的旁边的酒店，为了见面方便随便订的这里，房间虽小但感觉还不错，性价比很高，尤其房间冰箱给力，还能冷冻
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,商务出差,2016年12月入住,行政大床房,0,房间干净卫生，服务态度很好，有点遗憾，卫洗丽马桶无法正常使用
"位置:5.0,设施:4.0,服务:4.0,卫生:5.0",4.5,商务出差,2016年08月入住,,0,价格便宜，交通出行方便，离海边比较近，旁边就是韩国街，各种韩国商店和餐厅，走时间可以去逛一下，下次还会选择
"位置:5.0,设施:5.0,服务:4.0,卫生:5.0",4.8,商务出差,2017年11月入住,行政大床房,0,酒店的位置一般
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,商务出差,2016年06月入住,,,预定之前就看了，是家非常老的酒店，但是一直深受好评，也知道只有服务好才会这样一直经营下去。\n酒店的服务非常好，房间设施虽然有点老旧，但是还是很干净整洁，早餐也非常不错，一次非常不错的入住体验，各项服务也都比较专业，感觉很舒服温馨
"位置:4.0,设施:3.0,服务:3.0,卫生:3.0",3.3,商务出差,2016年08月入住,,0,与这个价格很符合，一切就是太一般，马桶老是堵，卫生间门把都坏了，隔音效果太差，下次不会再选这个价位的！
"位置:5.0,设施:5.0,服务:4.0,卫生:5.0",4.8,情侣出游,2016年07月入住,商务大床房,0,虽然是三星 但是开的时间比较久 酒店设施有点老 房间有点小 床翻身就会发出声音 浴巾还掉毛 沾了一身 不过位置不错 
"位置:5.0,设施:5.0,服务:4.0,卫生:5.0",4.8,商务出差,2016年06月入住,行政大床房,0,酒店的马桶是可以加热的，就是浴缸头上花洒的位置有点别扭，不知道是不是就正好让我赶上了个别扭的。酒店一层的商店卖东西蛮贵的。周边要走一段路才能找到小超市。
"位置:4.0,设施:4.0,服务:4.0,卫生:4.0",4,商务出差,2018年04月入住,商务双人间,0,酒店不错，
"位置:5.0,设施:5.0,服务:5.0,卫生:4.0",4.8,家庭亲子,2016年08月入住,,0,"价格很不错哦,位置也很好.下次还去.内部设施也很不错.前台服务人员的素质也很高.希望以后有机会还去这里."
"位置:3.0,设施:2.0,服务:3.0,卫生:2.0",2.5,商务出差,2016年10月入住,商务大床房,0,还行，浴缸不稳
"位置:5.0,设施:4.0,服务:5.0,卫生:5.0",4.8,商务出差,2018年02月入住,标准间,0,一二三四五
"位置:5.0,设施:5.0,服务:5.0,卫生:5.0",5,独自旅行,2018年01月入住,标准间,0,很棒的三星
